job_id,title,Country,State,City,department,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,salary_min,salary_max,fraud_label,has_salary
1,Marketing Intern,United States,NY,New York,Marketing,0,1,0,Other,Internship,Unknown,Unknown,Marketing,0,,,Genuine,False
2,Customer Service - Cloud Video Production,New Zealand,Unknown,Auckland,Success,0,1,0,Full-time,Not Applicable,Unknown,Marketing & Advertising,Customer Service,0,,,Genuine,False
3,Commissioning Machinery Assistant CMA,United States,IA,Wever,Unknown,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
4,Account Executive - Washington DC,United States,DC,Washington,Sales,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,,,Genuine,False
5,Bill Review Manager,United States,FL,Fort Worth,Unknown,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,,,Genuine,False
6,Accounting Clerk,United States,MD,Unknown,Unknown,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
7,Head Of Content M/F,Germany,BE,Berlin,Androidpit,0,1,1,Full-time,Mid-Senior level,Master's Degree,Online Media,Management,0,20000.0,28000.0,Genuine,True
8,Lead Guest Service Specialist,United States,CA,San Francisco,Unknown,0,1,1,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
9,Hp /BSM /SME,United States,FL,Pensacola,Unknown,0,1,1,Full-time,Associate,Unknown,Information Technology & Services,Unknown,0,,,Genuine,False
10,Customer Service Associate - Part Time,United States,AZ,Phoenix,Unknown,0,1,0,Part-time,Entry level,High School/equivalent,Financial Services,Customer Service,0,,,Genuine,False
11,"Asp.Net Developer-t United States,New Jersey",United States,NJ,Jersey City,Unknown,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology & Services,Information Technology,0,100000.0,120000.0,Genuine,True
12,Talent Sourcer 6 Months Fixed-Term Contract,United Kingdom,LN,D London,Hr,0,1,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,,,Genuine,False
13,"Applications Developer, Digital",United States,CT,Stamford,Unknown,0,1,0,Full-time,Associate,Bachelor's Degree,Management Consulting,Information Technology,0,,,Genuine,False
14,Installers,United States,FL,Orlando,Unknown,0,1,1,Full-time,Not Applicable,Unspecified,Events Services,Other,0,,,Genuine,False
15,Account Executive - Sydney,Australia,NS,W Sydney,Sales,0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Sales,0,,,Genuine,False
16,Vp Of Sales - Vault Dragon,Singapore,Unknown,Singapore,Sales,0,1,1,Full-time,Executive,Bachelor's Degree,Facilities Services,Sales,0,120000.0,150000.0,Genuine,True
17,Hands-On Qa Leader,Israel,Unknown,Tel Aviv Israel,R & D,0,1,0,Full-time,Mid-Senior level,Unknown,Internet,Engineering,0,,,Genuine,False
